天斩,天斩,《天斩》是连载于纵横中文网的一本仙侠异侠类小说，作者是迷谷。
Radio Flyer,Radio Flyer,RadioFlyer是一款卡丁玩具车，2016年2月上市。
铁人,托尼·史塔克,托尼·史塔克（TonyStark）即钢铁侠（IronMan），是美国漫威漫画旗下超级英雄，初次登场于《悬疑故事》（TalesofSuspense）第39期（1963年3月），由斯坦·李、赖瑞·理柏、唐·赫克以及杰克·科比联合创造。全名安东尼·爱德华·“托尼”·斯塔克（AnthonyEdward“Tony”Stark），是斯塔克工业（STARKINDUSTRIES）的董事长，因于一场阴谋绑架中，胸部遭弹片穿入，生命危在旦夕，为了挽救自己的生命，在同被绑架的物理学家殷森（YinSen）的协助下托尼造出了防止弹片侵入心脏的方舟反应炉从而逃过一劫，后又用方舟反应炉作为能量运转的来源，暗中制造了一套高科技战衣杀出重围后逃脱，后参与创立复仇者联盟。 在漫威电影宇宙中，钢铁侠由小罗伯特·唐尼饰演。
EAST,全超导托卡马克核聚变实验装置,全超导托卡马克核聚变实验装置装置，其运行原理就是在装置的真空室内加入少量氢的同位素氘或氚，通过类似变压器的原理使其产生等离子体，然后提高其密度、温度使其发生聚变反应，反应过程中会产生巨大的能量。2009年，世界上首个全超导非圆截面托卡马克核聚变实验装置（EAST）首轮物理放电实验取得成功，标志着我国站在了世界核聚变研究的前端。2016年2月，中国EAST物理实验获重大突破，实现在国际上电子温度达到5000万度持续时间最长的等离子体放电。 
芭比,芭比,芭比诞生于1959年3月9日，是露丝·汉德勒创造的“虚拟人物” ，最初只是一个金发玩具娃娃，随着社会和文化变迁不断推出新的品种，并衍生了家具、手机等，它成为一个品牌甚至文化现象。2002年，芭比娃娃的创造者露丝·汉德勒去世， 芭比出现于各种电视电影里，电影版芭比娃娃由环球影业发行，芭比娃娃和男朋友肯也出现在了2010年的迪士尼动画《玩具总动员3》里。 
pup,PUP,PUP（隐匿LJ程序）是指那些尽管使用者可能同意下载，但其实并不想要的程序。PUP包括间谍软件，广告软件和拨号器，经常是在伴随用户下载需要的软件的时候一同被下载。由于那些行销公司拒绝别人将他们的产品称为“间谍软件”，因特网安全公司McAfee就创造了PUP这个术语来指代上述软件。
始祖鸟,始祖鸟,始祖鸟，加拿大户外服饰品牌，外名：ARCTERYX，1989年创立于加拿大温哥华，由于其对新工艺和新技术近乎疯狂的追求，已成长为北美乃至全球的领导型的户外品牌，也是人们公认的顶级奢侈品。
全和,全和,全和，读音为quánhé，是一个汉语词语，意思是保全儒家中和的道德修养。
魔骑士,魔骑士,《魔骑士》是2009年由福州天盟数码有限公司推出的一款西方魔幻题材2DMMORPG。游戏以西方异域文化和魔幻传说为依托，构建了一个充满神秘力量与魔法元素的幻想世界，并重点倾情打造出“幻兽铠化”、“ITB战斗”与“魂契魔宠”三大魅力亮点和八大魔幻特色，成就全球首款幻兽铠化即时回合制网游的完美品质。
舒默,舒默,查尔斯·埃利斯（查克）·舒默，美国国会参议员，来自纽约州。美国民主党核心人物，目前党内排名第三。国内大部分媒体将其名字翻译为查尔斯·舒默。少数国内媒体将其名字译为查克·舒默。
天唐,天唐,《天唐》是格鱼所写网络小说，首发于起点中文网。作品简介：历史系副教授出身的副市长穿越至大唐天宝十一载夏天的长安，成为张九龄的幼子、帝都名门的浪荡公子张瑄……
DISCOVERY EXPEDITION,Discovery Expedition,DiscoveryExpedition是美国DiscoveryChannel旗下户外休闲品牌，品牌定位高端户外旅行市场。而据此前探路者对外披露的信息中，该品牌定价将高出探路者品牌档位20%-30%。
灵峰,灵峰,灵峰为雁荡山的东大门景区，总面积约46平方公里。以悬崖叠嶂，奇峰怪石，古怪石室，碧潭清润而著称。与灵岩、大龙湫并称为雁荡三绝。景区内层峦叠嶂，奇峰环绕，千形万状，美不胜收。灵峰夜景，移步换形，变幻多姿，妙不可言。两大奇洞——观音洞、北斗洞为游人所必至。合掌峰是雁荡山的代表景观之一。
欧文的派对,欧文的派对,欧文的派对，串烧欢聚时刻。高端时尚便携式烤炉品牌，全力为消费者打造最佳烧烤体验，致力于成为拥有核心技术的全球烤制具专家。
欧伦堡,欧伦堡,欧伦堡源自英国，2009年欧伦堡大中华区运营中心在香港正式成立！同年大陆运营中心成立。“OLUNPO”是欧洲休闲鞋个性品牌，特色打破皮鞋灰色秩序里以往的深沉、暗淡、过于理性的传统鞋业。
Honeywell,霍尼韦尔,霍尼韦尔国际（HoneywellInternational）是一家营业额达300多亿美元的多元化高科技和制造企业，在全球，其业务涉及：航空产品和服务、楼宇、家庭和工业控制技术、汽车产品、涡轮增压器以及特殊材料。霍尼韦尔公司总部位于美国新泽西州莫里斯镇。霍尼韦尔是一家国际性从事自控产品开发及生产的公司，公司成立于一八八五年，有超过百年历史的国际公司，一九九六年，被美国"财富"杂志评为最受推崇的20家高科技企业之一。是一家销售额为333.7亿美元(2011年度)，在多元化技术和制造业方面占世界领导地位的跨国公司（500强排名280位）。宗旨是以增加舒适感，提高生产力，节省能源，保护环境，保障使用者生命及财产从而达到互利增长为目的。为全球的楼宇，工业，航天及航空市场的客户服务。霍尼韦尔国际公司是一个拥有多元化制造技术的领导者，服务于世界各地的客户，包括航天产品及服务、工业和家庭楼宇控制技术、汽车产品、涡轮增压器以及特种材料。霍尼韦尔在全球100多个国家/地区拥有116000员工，以满足客户，力争成为世界自控先驱，从而实现互利增长的目标。2017年6月7日，2017年《财富》美国500强排行榜发布，霍尼韦尔排名第73位。 
BAUERFEIND,Bauerfeind,德国专业运动护具品牌BAUERFEIND创建于上个世纪二十年代，经过将近九十年的发展，已经成为专业运动护具领域的顶级品牌·
泰诺,泰诺,泰诺（酚麻美敏混悬液），适应症为本品用于小儿，可减轻普通感冒或流行性感冒引起的发热、头痛、四肢酸痛、喷嚏、流涕、鼻塞、咳嗽、咽痛等症状。
ELLE,ELLE,ELLE法语翻译成中文名字是“她”的意思，1945年，由HeleneLazareff在法国巴黎创立，面世后广受好评。ELLE已融入到女性生活的方方面面。以时尚导向，是女性化的、现代的、积极向上、亲切的、潮流而又充满生活气息。品牌形象：现代、朝气、优雅、活力。
NgP,NGP,索尼新一代掌机代号NGP（NextGenerationPortable），采用5英寸OLED高分辨率(960x544)屏幕，支持触控操作，支持3G、WiFi网络和GPS等。NGP配备了基于ARMCrotexA9架构的四核心处理器，GPU则是四核心PowerVRSGX543MP4+。该掌机将在2011年圣诞购物季期间上市。
美克,美克,美克（联苯苄唑乳膏），适应症为用于手皮肤真菌、酵母菌、霉菌、和其他皮肤菌和糠秕孢子菌引起的皮肤真菌病，以及微小棒状杆菌引起的感染。如：脚癣、手癣、体癣、股癣、花斑癣、表皮念珠菌病。
雄狮,雄狮,《雄狮》是根据《漫漫寻家路》改编，由加斯·戴维斯执导，戴夫·帕特尔、鲁妮·玛拉、妮可·基德曼、桑尼·帕沃等主演的剧情片，于2016年11月25日北美上映，2017年6月22日在中国上映。 影片主要讲述了一个印度男孩和父母离散，花了20年时间去寻找自己的父母。 
马格南,马格南,马格南研究公司（MRI）是一家美国私营公司，总部位于明尼苏达州弗里德利，生产和分销火器。主要所有者JimSkildum（总裁兼首席执行官）和JohnRisdall（首席运营主席）自1979年成立以来一直与该公司合作。
Hello Kitty,hello kitty,HelloKitty（日语：ハローキティ；拉丁写法：Harōkiti）日本著名动漫萌星，市面的中文译名有堤提猫、凯蒂猫、凯迪猫、吉蒂猫等名。另外，由于HelloKitty没有嘴巴，在网络上亦有无口猫、无嘴猫的别名。她有这样一个故事。有一只小猫，有嘴巴（作者已经表示有嘴巴了），脸蛋圆圆的，左耳上扎着一个蝴蝶结，还有一截小尾巴，她的名字叫堤提猫（HelloKitty），凯蒂猫、吉蒂猫或无嘴猫。Kitty猫诞生于1974年，日本著名卡通萌星。她是个英国人，名叫凯蒂·怀特（KittyWhite），天蝎座，三年级，有只叫CharmmyKitty的宠物猫，还有个双胞胎姐妹。 
爱茉莉,爱茉莉太平洋集团,爱茉莉太平洋集团是韩国享誉全球的化妆品集团公司。公司成立于1945年，至今已有70年的历史，旗下子公司跨行数十业，不仅拥有自己的研发中心，而且海外分支机构横跨全球，国际行销网遍及40多个国家，所生产的化妆品项目多达4000多种。品质优良的产品，不仅在韩国，更受到全球消费者及用户欢迎，并已成为世界性企业。爱茉莉太平洋集团以“亚洲之美”为基础，致力于实现亚洲人的美丽之梦，进而与世界共同分享亚洲之美。同时为了携手人类共同探索可持续发展，不断研发可持续的产品以及开展各种各样的社会公益活动。2015年12月17日，获得韩国国家品牌大奖。 
TATA,TATA,TATA是一个皮鞋品牌，产品做工精细、质量上乘，紧跟时代潮流，每一双都是名师设计，历经智能化、优质高效生产及严格的质量检测后方得以问世的精心之作。产品设计自然洒脱、舒适灵动、前卫多变的面料和活泼亮丽的色彩。TATA名称源自象声词皮鞋着地时的“踏踏”声，有谢谢之意，寓意都市快节奏，代表“感恩的情怀”，崇尚人与人之间的真诚付出，倡导积极心态、健康生活。
丝柏舍,丝柏舍,丝柏舍（special）为烟台拓森服装有限公司旗下知名时尚女装品牌。丝柏舍女装致力“凸显女性个性之美”，集鲜明的个性设计、精致的限量生产、独特的线上线下销售三位一体，志在通过设计师独特的设计品位和中间经销环节的删减，让每位爱美女性均能享受到属于自己的那份特别的美丽。
Kangol,Kangol,坎戈尔袋鼠来自英国的老牌坎戈尔袋鼠(Kangol)。崛起于英国，在欧洲市场闯荡超过了60年头的坎戈尔袋鼠(Kangol)，是英国的传统服饰业者，而其中它最有名的莫过于是扁平帽(Barret)，也有很多人称之贝雷帽、小偷帽、狩猎帽、报童帽等等。
